name,symbol,website,github,careers
Pioneer Coin,PCOIN,https://pioneercoin.com/,https://github.com/PCOIN,
ExchangeN,EXN,http://www.exchangen.com/,,
Asiadigicoin,ADCN,http://asiadigicoin.org/,,
CrowdCoin,CRC,http://crowdcoin.site/,https://github.com/crowdcoinChain/Crowdcoin,
Royal Kingdom...,RKC,https://www.royalkingdomcoin.com/,,
Coupecoin,COUPE,http://www.coupecoin.com/,,
PRCoin,PRC,https://prcoin.io/,,
GeyserCoin,GSR,http://geysercoin.com/,https://github.com/geysercoin/geysercoin,
WomenCoin,WOMEN,https://www.women-coin.com/,https://github.com/womencoin/womencoin,
CrevaCoin,CREVA,http://www.crevacoin.com/,https://github.com/crevacoin/creva,
Ulatech,ULA,https://ulatech.com/,https://github.com/UlaTechGroup/UlatechGroup,
HarmonyCoin,HMC,https://www.hmc21.co/,,
POLY AI,AI,https://polynetwork.org/,,
FuturXe,FXE,https://futurxe.io/,,
Hedge,HDG,https://www.hedge-crypto.com/,,
Guaranteed Et...,GETX,https://inschain.io,,
Rialto,XRL,https://www.rialto.ai/,,
SRCOIN,SRCOIN,https://www.srcoin.info/,,
Target Coin,TGT,https://www.tgtcoins.com/,,
KiloCoin,KLC,http://kilocoin.com/,,
AsiaCoin,AC,http://www.thecoin.asia/,,
HyperStake,HYP,http://hyperstake.io/,https://github.com/hyperstake/HyperStake,
Xenon,XNN,https://xenon.network/,,
PoSW Coin,POSW,https://posw.io/,,
E-coin,ECN,https://www.ecoinsource.com/,https://github.com/ecoinclub/ecoin,
Sharpe Platfo...,SHP,https://sharpe.capital/,https://github.com/sharpe-capital,
AurumCoin,AU,http://www.aurumcoin.com/,https://github.com/aurumcoin/Aurumcoin_AU,
Quark,QRK,http://www.qrknet.info/,https://github.com/quark-project/quark/releases/,
LuckChain,BASH,http://luckchain.org/,https://github.com/LuckBash/Bash,
Ties.DB,TIE,https://ties.network/,http://github.com/tiesnetwork,
Mercury Protocol,GMT,https://www.mercuryprotocol.com/,https://github.com/mercuryprotocol,https://www.mercuryprotocol.com//jobs
Triaconta,TRIA,https://triaconta.com/,https://github.com/nevixa/triatoken_combicoin,
Sense,SENSE,https://www.sensetoken.com/,https://github.com/sensay/,
imbrex,REX,https://imbrex.io/,,
Tokenbox,TBX,https://tokenbox.io/,https://github.com/zeriontech/,
Bullion,CBX,http://cryptobullion.io/,https://github.com/cryptogenicbonds/CryptoBullion-CBX,
FlypMe,FYP,https://flyp.me/,https://github.com/flypme,
AudioCoin,ADC,http://www.audiocoin.eu/,https://github.com/aurovine/audiocoin,
