name,symbol,website,github,careers
WETH,WETH,https://weth.io/,,
Filecoin [Fut...,FIL,https://filecoin.io/,,
Monero Classic,XMC,http://monero-classic.org/,https://github.com/monero-classic,
Read,READ,https://read.lianzai.com/,,
HalalChain,HLC,http://www.hlc.com/,,
Exchange Union,XUC,https://www.exchangeunion.com/,https://github.com/ExchangeUnion,
KEY,KEY,https://www.bihu.com/,https://github.com/bihu-id/,
Show,SHOW,http://www.show.one/,https://github.com/ShowCoin/,
Crowd Machine,CMCT,https://crowdmachine.com,,
Loopring [NEO],LRN,https://loopring.org,https://github.com/loopring,
Electronic PK...,EPC,http://epc.im/,,
Switcheo,SWTH,https://switcheo.network/,,
CFun,CFUN,https://www.cfunproject.com/,,
TerraNova,TER,https://terranovacoin.wixsite.com/terranova-ter,,
IPChain,IPC,https://www.ipcchain.org/,https://github.com/IPCChain/ipchain,
PressOne,PRS,http://press.one/en,,
Naviaddress,NAVI,https://naviaddress.com/,https://github.com/naviworld/navi-token/,
Global Social...,GSC,https://www.gsc.social,https://github.com/gscsocial/gsc-core,
UnlimitedIP,UIP,http://www.unlimitedip.io/,,
StockChain,SCC,http://stockchain.co/,https://github.com/StockChainScc,
COMSA [ETH],CMS,https://comsa.io/en/,,
Fidelium,FID,http://www.fidelium.io/,,
Eximchain,EXC,https://www.eximchain.com,https://github.com/eximchain,
Invacio,INV,https://www.invacio.com/,https://github.com/Invacio,https://careers.invacio.com
Infinity Econ...,XIN,http://www.infinity-economics.org/,https://bitbucket.org/InfinityEconomics/,
Cybereits,CRE,https://cybereits.com/,https://github.com/Cybereits,
LightChain,LIGHT,http://www.lightchain.one/,https://github.com/lightchainone,
Bezant,BZNT,https://bezant.io/,,
StarCoin,KST,http://www.starcoin.tv,,
Rhenium,XRH,http://rhenium.org/,https://github.com/Rheniumnetwork,
Rublix,RBLX,https://rublix.io/,https://github.com/rublixdev,https://rublix.io//careers
Faceter,FACE,https://tokensale.faceter.io/,https://github.com/faceterteam/smart_contracts,
XYO Network,XYO,https://xyo.network/,https://github.com/XYOracleNetwork,
BigONE Token,BIG,https://big.one/,,
COMSA [XEM],CMS,https://comsa.io/en/,,
GINcoin,GIN,https://gincoin.io,https://github.com/gincoin-dev/gincoin-core,
Aidos Kuneen,ADK,http://aidoskuneen.com/,https://github.com/AidosKuneen,
GameChain System,GCS,https://blockchain.game/,https://github.com/blockchaingame,
Digix Gold Token,DGX,https://digix.global,https://gist.github.com/mrenoon/2582fba7b4d457d80f7d37520aabbc08,
Dascoin,DASC,https://dascoin.com/,https://github.com/techsolutions-ltd/dascoin-blockchain,
REPO,REPO,https://www.repocoin.io/,,
Curriculum Vitae,CVH,http://www.cvh.io/,https://github.com/CVHCoin/CVH-Curriculum-Vitae,
Qube,QUBE,http://www.qube.vip/,,
Travala,AVA,https://project.travala.com/,https://github.com/travala/AVA-token,
InvestDigital,IDT,https://investdigital.info/,https://github.com/investdigital,
Cazcoin,CAZ,https://cazcoin.io/,https://github.com/copicogithub1/cazcoin,
Loki,LOKI,https://loki.network/,http://github.com/loki-project,
Sphre AIR ,XID,https://sphereidentity.com/,,
Animation Vis...,AVH,http://www.av.cash/,,
BlockMesh,BMH,https://www.blockmesh.io/,,
BlockCDN,BCDN,http://www.blockcdn.org/,https://github.com/Blockcdnteam/BCDNICO,
Pixie Coin,PXC,http://www.pixiecoin.io/,https://github.com/PixieCoinFoundation/PixieCoin,
MSD,MSD,https://mymsdspace.com/,,
SegWit2x,B2X,http://b2x-segwit.io/,https://github.com/SegwitB2X/,
Bitcoin Interest,BCI,http://bitcoininterest.io/,https://github.com/BitcoinInterestOfficial/BitcoinInterest,
Candy,CANDY,https://candy.one/,,
SnipCoin,SNIP,https://snip.today,https://github.com/sniptoday,
Arbitracoin,ATC,https://arbitracoin.com/,https://github.com/ArbiTraCoin/Arbitra-ATC,
Consensus,SEN,https://consensus.ai/,,
AC3,AC3,https://ac3.io/,,
Bela,BELA,http://livebela.com/,https://github.com/bellacoin/,http://livebela.com//careers.html
TokenDesk,TDS,https://www.tokendesk.io/,https://github.com/TokeDesk/TDS,
Callisto Network,CLO,https://callisto.network/,https://github.com/EthereumCommonwealth,
Monero Original,XMO,https://monero-original.org/,https://github.com/XmanXU/monero,
BetterBetting,BETR,https://www.betterbetting.org/,https://github.com/BetterBetting,https://www.betterbetting.org//careers
BrahmaOS,BRM,https://www.brahmaos.io/,https://github.com/BrahmaOS,
Swisscoin,SIC,https://swisscoin.eu/,https://github.com/SwisscoinTM,
WINCOIN,WC,https://wincoin.co/,https://github.com/Wincoinofficial/wincoin,
Lendroid Supp...,LST,https://www.lendroid.com/,,
Content Neutr...,CNN,https://cnntoken.io/,https://github.com/cnntoken/,
BitSoar,BSR,http://bitsoar.com/,https://github.com/BITSOAR/wallet,
EmberCoin,EMB,https://www.embercoin.io/,https://github.com/EmberCoin/Ember/,
Vipstar Coin,VIPS,,https://github.com/VIPSTARCOIN/VIPSTARCOIN,
Aseancoin,ASN,https://asncoin.com,,
Infinitecoin,IFC,http://www.infiniteco.in,https://github.com/infinitecoin/infinitecoin,
Golos Gold,GBG,https://golos.io/,,
PHI Token,PHI,https://www.phitoken.io/,,
Decentralized...,DML,https://decentralizedml.com,https://github.com/DecentralizedML,
Cropcoin,CROP,http://www.cropcoin.net/,https://github.com/Cropdev/CropDev,
EtherDelta Token,EDT,https://crowdsale.etherdelta.com/,,
Slothcoin,SLOTH,http://www.slothcoin.org/,https://github.com/oldambtster/Slothcoin,
Bitcoin God,GOD,https://www.bitcoingod.org/,https://github.com/BitcoinGod/BitcoinGod/releases/download/v0.1.3.0/bitcoingod-v0.1.3.0-osx.dmg,
HODL Bucks,HDLB,http://www.hodlbucks.com/,,
United Trader...,UTT,https://uttoken.io/,https://github.com/UnitedTraders/uttoken,
Pabyosi Coin ...,PCS,http://pcsblockchain.com/,,
Titanium Bloc...,BAR,https://tbis.io/,https://github.com/tbis-inc/TBIS,https://tbis.io//careers
EDRCoin,EDRC,https://www.edrcoin.cash/,https://github.com/EDRCoin/,
Etherecash,ECH,http://etherecash.io/,,
Internet of T...,XOT,http://iotcoin.io/,,
President Joh...,GARY,http://johnson.2016coin.org/,,
Sand Coin,SND,https://en.sandcoin.io/,https://github.com/sndtoken/ico,
First Bitcoin...,BITCF,http://bitcoincapitalcorp.com/,,
President Trump,PRES,http://trump.2016coin.org/,,
TeslaCoilCoin,TESLA,http://teslacoilcoin.org/,,
CryptopiaFeeS...,CEFS,,,
WA Space,WA,http://www.wa3529.com/,,
