name,symbol,website,github,careers
SportsCoin,SPORT,https://www.thesportscoin.com/,https://github.com/thesportscoin/SPORT-source,
Avoncoin,ACN,http://avoncoin.org/,,
Runners,RUNNERS,https://runners.cash/,,
High Gain,HIGH,http://www.highgain.ltd/,https://github.com/highgainqubit/highgain,
DarkLisk,DISK,,https://github.com/diskdev/disk,
Omicron,OMC,http://delta.investments/,https://github.com/Gladimor/Omicron-Investment-Platform,
KashhCoin,KASHH,http://www.kashhcoin.com/,https://github.com/cashhcointech/kashhcoin,
Hyper,HYPER,http://hypercrypto.com/,https://github.com/CryptoDatabase/hyper,
Sharkcoin,SAK,http://www.sharkcoin.org,https://github.com/shark-git/sharkcoin,
EggCoin,EGG,,https://github.com/eastercoindev/eggcoin,
Cycling Coin,CYC,,https://github.com/cyclingcoin/cyclingcoin,
DeltaCredits,DCRE,,,
X2,X2,,https://github.com/X2Team2017/X2,
Operand,OP,http://www.operand.money/,,
PrismChain,PRM,,,
PokeCoin,POKE,,https://github.com/PokeCoinDev/pokecoin,
Rcoin,RCN,http://www.rcoineu.com/,,
LePen,LEPEN,,https://github.com/LePenCoin/LePenCoin,
BestChain,BEST,http://bestchain.hol.es/,,
Cheapcoin,CHEAP,,https://github.com/cheapandcloud/chain,
Bitok,BITOK,http://bitok.online/,https://github.com/bitokproject/bitok,
OX Fina,OX,http://oxfina.com,https://github.com/oxfina,
SISA,SISA,https://sisa.fund/,https://github.com/SISAteam/SISA-Token,
ACChain,ACC,https://www.acchain.org/,https://github.com/sxmz/acchain,
Qora,QORA,http://qora.org,https://github.com/Qoracoin/Qora,
Vcash,XVC,http://vcash.info/,https://github.com/openvcash,
UNCoin,UNC,http://uncoin.org/,https://github.com/belledejour/uncoin-source-code,
TechShares,THS,http://www.techsharescommunity.com/,,
Macro,MCR,http://whatismacro.com/,https://github.com/doomdorf/Macro,
Farstcoin,FRCT,https://farstcoin.co/,https://github.com/farstnetworkcoin,
ENTCash,ENT,http://entcash.com/,,
Jingtum Tech,SWTC,https://www.jingtum.com/,,
MOAC,MOAC,http://moac.io/,https://github.com/MOACChain/moac-core,
Aston,ATX,https://www.aston.company/,https://github.com/astonx/astonx-token,
