name,symbol,website,github,careers
UpToken,UP,https://uptoken.org/,,
Agrello,DLT,https://www.agrello.org/,https://github.com/Agrello,
Incent,INCNT,https://www.incentloyalty.com/,,
Swarm,SWM,https://www.swarm.fund/,https://github.com/swarmfund,
Peerplays,PPY,http://www.peerplays.com/,https://github.com/PBSA,
DIMCOIN,DIM,https://www.dimcoin.io/,,
Cappasity,CAPP,https://artoken.io/,https://github.com/CappasityTech,
FlorinCoin,FLO,http://flo.cash/,https://github.com/floblockchain/flo,
Grid+,GRID,http://gridplus.io/,https://github.com/gridplus,
Omni,OMNI,http://www.omnilayer.org/,https://github.com/OmniLayer,
Aeron,ARN,https://aeron.aero/,https://github.com/aeronaero/aeron,
GridCoin,GRC,http://www.gridcoin.us/,https://github.com/gridcoin/Gridcoin-Research,
CoinPoker,CHP,https://coinpoker.com/,https://github.com/CoinPokerOfficial/ico-smartcontracts,
Bismuth,BIS,http://bismuth.cz/,https://github.com/hclivess/Bismuth,
Diamond,DMD,http://bit.diamonds,https://github.com/DMDcoin/Diamond,
Covesting,COV,https://covesting.io/,https://github.com/covesting,
Restart Energ...,MWAT,https://restartenergy.io,https://github.com/TransylvaniaHighTech/RestartEnergyICO,
Blockport,BPT,https://www.blockport.io/,https://github.com/Blockport/,http://jobs.blockport.io
VeriCoin,VRC,http://www.vericoin.info/,https://github.com/vericoin/vericoin,
LALA World,LALA,https://lalaworld.io,,https://lalaworld.io/careers
ATMChain,ATM,https://www.atmchain.io/,,
Numeraire,NMR,https://numer.ai/,https://github.com/numerai,
Uquid Coin,UQC,https://uquidcoin.com/,,
MedicCoin,MEDIC,https://mediccoin.com/,,
PACcoin,$PAC,http://paccoin.net/,https://github.com/PACCommunity,
Radium,RADS,https://radiumcore.org/,https://github.com/RadiumCore/radium-0.11/,
Measurable Da...,MDT,https://www.mdt.co/,https://github.com/measurabledatatoken,https://angel.co/mailtime/jobs
Aphelion,APH,https://aphelion.org/,https://github.com/aphtoken/,
AICHAIN,AIT,http://www.aichain.me/,,
MonetaryUnit,MUE,http://www.monetaryunit.org,https://github.com/MUEcoin/,
indaHash,IDH,https://indahash.com/,https://github.com/indahash,https://indahash.com//careers
Selfkey,KEY,https://selfkey.org/,https://github.com/selfkeyfoundation,https://selfkey.org//careers/
Moeda Loyalty...,MDA,https://moeda.in/,https://github.com/moedabank,
Sharder,SS,https://sharder.org/,https://github.com/Sharders,
carVertical,CV,https://www.carvertical.com/,https://github.com/carVertical,
OneRoot Network,RNT,https://www.oneroot.io/en,,
Envion,EVN,https://www.envion.org,,https://www.envion.org/en/jobs/
Flash,FLASH,https://flashcoin.io/,https://github.com/flash-coin,
E-Dinar Coin,EDR,https://edinarcoin.com/,,
RevolutionVR,RVR,http://revolutionvr.live/,,
Tao,XTO,http://tao.network/,https://github.com/taoblockchain/tao-core,
Nework,NKC,http://nework.pro/,,
EchoLink,EKO,https://echolink.info/,https://github.com/EchoLinkTech/Echo,
OAX,OAX,https://oax.org/,https://gitlab.com/groups/oax/,
LATOKEN,LA,https://latoken.com/,https://github.com/ElKornacio/contracts-early,https://latoken.com//careers
Mooncoin,MOON,https://www.mooncoin.eco/,https://github.com/mooncoincore,
MARK.SPACE,MRK,https://mark.space/,,
Databits,DTB,http://www.augmentorsgame.com/,,
Oxycoin,OXY,https://oxycoin.io/,https://github.com/oxycoin/,
Hacken,HKN,https://hacken.io/,,
DeviantCoin,DEV,https://deviantcoin.io/,https://github.com/Deviantcoin/Source,
Hydrogen,HYDRO,https://www.hydrogenplatform.com/hydro,https://github.com/hydrogen-dev/smart-contract,https://www.hydrogenplatform.com/hydro/careers
SolarCoin,SLR,http://solarcoin.org/,https://github.com/onsightit/solarcoin,
Playkey,PKT,https://playkey.io/,https://github.com/Playkey/ico-contracts,
Smartlands,SLT,https://smartlands.io/,https://github.com/Smartlands-Platform/SLT,
SureRemit,RMT,https://token.sureremit.co/,,
SIBCoin,SIB,https://sibcoin.money/,https://github.com/ivansib/sibcoin/,
Divi,DIVX,https://www.diviproject.org/,https://github.com/Divicoin,
Maecenas,ART,http://www.maecenas.co/,,
Quantum,QAU,http://www.quantumproject.org/,,
Nebula AI,NBAI,https://www.nebula-ai.com/,https://github.com/nebulaai,
Rubycoin,RBY,http://www.rubycoin.org/,https://github.com/rubycoinorg/rubycoin,
Expanse,EXP,http://www.expanse.tech/,https://www.github.com/expanse-org,https://expanse.tech/jobs/
Bezop,BEZ,https://bezop.io/,https://github.com/bezopteam,
Polis,POLIS,https://polispay.org/,https://github.com/polispay/polis,
Linker Coin,LNC,https://www.linkercoin.com/en,https://github.com/linkercoinfoundation,
BitClave,CAT,https://www.bitclave.com/,https://github.com/bitclave/,
Graft,GRFT,https://www.graft.network/,https://github.com/graft-project,
REBL,REBL,https://www.rebellious.io/,https://github.com/RebelliousToken,
ICOS,ICOS,https://icos.icobox.io/,,
Linda,LINDA,http://lindacoin.com/,https://github.com/Lindacoin/Linda/,
TE-FOOD,TFD,https://ico.tefoodint.com/,,
Banyan Network,BBN,http://www.banyanbbt.org,,
Neumark,NEU,http://neufund.org/,https://github.com/Neufund/,http://neufund.org//careers
NoLimitCoin,NLC2,https://nolimitcoin.org/,https://github.com/NoLimitCoin,https://nolimitcoin.org/careers
Matryx,MTX,https://matryx.ai/,https://github.com/matryx,
Paragon,PRG,https://paragoncoin.com/,https://github.com/paragon-coin/token,
NPER,NPER,https://nper.io/En,https://github.com/NperProject,
LUXCoin,LUX,https://luxcore.io/,https://github.com/216k155/lux,
Etheroll,DICE,https://etheroll.com/,,
Everus,EVR,https://everus.org/,https://github.com/EverusWorld,https://www.jobstore.com/my/company/483104/everus-technologies-sdn-bhd
Pareto Network,PARETO,https://pareto.network/,https://github.com/ParetoNetwork,
SwissBorg,CHSB,https://swissborg.com/,https://github.com/SwissBorg,https://jobs.lever.co/swissborg
Chronobank,TIME,https://chronobank.io/,https://github.com/ChronoBank,http://instahire.jobs
Olympus Labs,MOT,https://olympuslabs.io/,https://github.com/Olympus-Labs,
BitSend,BSD,http://www.bitsend.info/,https://github.com/LIMXTEC/BitSend,
