name,symbol,website,github,careers
GlobalCoin,GLC,http://www.globalcoin.info/,https://github.com/cryptoparts/Globalcoin,
PureVidz,VIDZ,http://purevidz.net/,https://github.com/purevidz/vidzcoin,
Rubies,RBIES,http://rbies.org/,,
Quebecoin,QBC,https://www.quebecoin.org/,https://github.com/morinpa/QBC,
Advanced Inte...,AIB,http://aib.iobond.com/,https://github.com/iobond/aib,
MustangCoin,MST,http://mustangcoin.xyz/,https://github.com/mustangcoin/mst-v3,
Nekonium,NUKO,https://nekonium.github.io/,https://github.com/nekonium,
HempCoin,HMP,http://hempcoin.com/,,
GameUnits,UNITS,http://gameunits.org/,https://github.com/gameunits/gameunits,
Neuro,NRO,http://neurocoin.org/,https://github.com/neurocoin/neurocoin,
SecretCoin,SCRT,https://secretcoin.club/,,
SixEleven,611,https://611project.org/,https://github.com/611project/sixeleven/releases,
Helleniccoin,HNC,http://www.helleniccoin.gr/,,
Zurcoin,ZUR,http://shai102.wix.com/zurcoin,https://github.com/zurcoin/zurcoin,
Kurrent,KURT,http://kurrentproject.com/,https://github.com/kurrentproject/Kurrent,
Signatum,SIGT,https://signatum.org/,https://github.com/signatumd/source/,
SOILcoin,SOIL,https://soil.cash/,https://github.com/Soilcoin/SOILsafe/,
Xios,XIOS,http://www.xioscoin.com/,https://github.com/ButterRose/Xios,
BitQuark,BTQ,http://www.bitquark.info/,https://github.com/quark-project/quark/,
TajCoin,TAJ,http://tajcoin.tech/,https://github.com/Taj-Coin/tajcoin,
Global Tour Coin,GTC,http://www.gtccoinclub.com/,https://github.com/gtccoins/gtccoin,
Dalecoin,DALC,http://dalecoin.org/,https://etherdelta.github.io/#DALC-ETH,
EcoCoin,ECO,http://www.ecocoin.us/,,
Firecoin,FIRE,,https://github.com/techcoincommunity/firecoin/releases,
BROTHER,BRAT,http://bro-consortium.io/,https://browallet.github.io/,
Visio,VISIO,http://www.visioplatform.com/,https://github.com/Fladirmacht/visioX/,
PayCon,CON,https://paycon.pw/,https://github.com/cryptotech/PayCon,
Bitcoin 21,XBTC21,http://www.bitcoin-21.com/,https://www.github.com/bitcoin21/v1.0,
Mincoin,MNC,https://www.mincoin.us/,https://github.com/mincoin,
Acoin,ACOIN,https://acoin.info/,https://github.com/acoin-project/acoin,
MACRON,MCRN,https://macron.name/,https://github.com/MacronCoin/Macron,
Solarflarecoin,SFC,http://solarflarecoin.us/,https://github.com/solarflareproject/solarflarecoin,
Bitcoin Planet,BTPL,http://bitcoin-planet.net/,https://github.com/btpl2017/bitcoinplanet,
Eurocoin,EUC,http://eurocoin-euc.com/,https://github.com/scriptexpert/Eurocoin,
Elysium,ELS,,,
Trident Group,TRDT,https://www.tridentgroup.io/,,
JavaScript Token,JS,http://jschain.io/,https://github.com/jschain,
X-Coin,XCO,http://x-coin.info/,https://github.com/jimblasko/xcoin,
Honey,HONEY,http://honeycoin.info,https://github.com/cryptofun/honey/,
GuccioneCoin,GCC,https://guccionecoin.wordpress.com/,https://github.com/guccionecoin/GCC,
Digital Rupees,DRS,https://www.digitalrs.me/,,
Dollarcoin,DLC,,https://github.com/dollarcoins/source,
Network Token,NTWK,http://www.networktoken.io/,,
SoonCoin,SOON,http://www.sooncoin.com/,https://github.com/SoonCoin/Sooncoin,
FUNCoin,FUNC,http://www.funcoin.io/,,
CacheCoin,CACH,https://www.cachecoin.cc/,https://github.com/kalgecin/CACHeCoin,
PoSToken,POS,https://postoken.org/,https://github.com/PoSToken,
Coinonat,CXT,http://www.coinonat.org/,https://github.com/coinonat/,
GoldPieces,GP,http://goldpieces.net/,,
High Voltage,HVCO,http://www.highvoltagecoin.tech/,https://github.com/highvoltagecoin/highvoltagecoin,
CompuCoin,CPN,http://compucoin.org/,https://github.com/compucoin,
BipCoin,BIP,https://bipcoin.org/,,
AgrolifeCoin,AGLC,https://www.agrolifecoin.org/,https://github.com/traiborg/Agrolifecoin,
Money,$$$,http://moneyfoundation.github.io/moneypage/index.html,https://github.com/moneyfoundation/money,
Bolenum,BLN,http://bolenum.com/,https://github.com/Bolenum/Boleno,
BenjiRolls,BENJI,http://benjirolls.cf/,https://github.com/BelligerentFool/BenjiRolls,
SongCoin,SONG,http://www.songcoin.org,https://github.com/Songcoin/Songcoin,
ICOBID,ICOB,http://icobidplatform.net/,,
FuzzBalls,FUZZ,http://www.fyi-koerier.nl/fuzzballs.htm,https://bitbucket.org/aminerminer/fuzzcoin/src,
Shilling,SH,https://digitalshilling.org/,https://github.com/yavwa/Shilling,
Chronos,CRX,http://chronos-coin.com/,https://github.com/chronoscoin/Chronoscoin,
Gold Pressed ...,GPL,http://www.scificrypto.info/gpl/index.htm,https://github.com/scificrypto/Gold-Pressed-Latinum,
Useless Ether...,UET,https://uetoken.com/,https://github.com/uetoken,
Virta Unique ...,VUC,http://www.virtauniquecoin.com/,https://github.com/virtauniquecoin/virtauniquecoin-master,
Debitcoin,DBTC,https://debitcoin.xyz/,https://github.com/Debitcoin,
Eryllium,ERY,https://eryllium.com/,https://github.com/Eryllium/,
QuazarCoin,QCN,,,
Marijuanacoin,MAR,https://marijuanacoin.net,,
Kronecoin,KRONE,https://bitcointalk.org/index.php?topic=2068475.0,https://github.com/Kronecoin,
Roofs,ROOFS,https://www.roofs.business/,https://github.com/roofsdev/roofs,
MindCoin,MND,http://www.mindcoin.xyz/,https://github.com/MindCoinTeam/MindCoin,
BnrtxCoin,BNX,http://www.bnrtx.com/,https://github.com/bnrtx/bnrtxcoin/,
ZetaMicron,ZMC,,,
Metal Music Coin,MTLMC3,http://metalmusiccoin.pw/,https://github.com/metalmusiccoin/MTLMCV3,
Luna Coin,LUNA,https://bitluna.org/,,
Uro,URO,http://uro.io,https://github.com/FuelCoinDev/FC2-Source,
DAPPSTER,DLISK,https://dlisk.com/,https://github.com/DLiskProject/dlisk,
Jewels,JWL,http://jewelsproject.com/,,
Californium,CF,http://www.californium.info/,https://github.com/Californium/Californium,
MiloCoin,MILO,http://www.milocoin.info/,https://github.com/MiloCoin/MiloCoin/tree/master/MiloCoin-source,
Copico,XCPO,http://www.copico.io/,https://github.com/copicogithub1/copico,
Veltor,VLT,,https://github.com/veltor,
Printerium,PRX,http://printerium.info/,https://github.com/Printerium/Printerium-project,
ARbit,ARB,,https://github.com/ARbitcoin/ARbit,
Master Swiscoin,MSCN,https://www.swisopensource.com/,,
Dreamcoin,DRM,http://dreamcoin.fi/,,
HealthyWormCoin,WORM,http://healthyworm.com/,,
BiosCrypto,BIOS,http://bioscrypto.com/,,
Interzone,ITZ,https://interzone.space/,https://github.com/projectinterzone/ITZ,
Creatio,XCRE,https://xcreatio.com/,,
Independent M...,IMS,http://independentmoneysystem.com/,https://github.com/independentmoneysystem/IMSCoin,
BOAT,BOAT,http://boatcoin.net/,https://github.com/OBAViJEST/boatcoinfinal,
GeertCoin,GEERT,,https://github.com/GeertAltCoin/Geertcoin,
Slevin,SLEVIN,,,
