name,symbol,website,github,careers
Global Curren...,GCR,http://gcrcoin.com/,https://github.com/globalcurrencyreserve/gcr,
Ecobit,ECOB,http://www.ecobit.io/,,
Spectiv,SIG,https://www.spectivvr.com/,https://github.com/SpectivOfficial,
Worldcore,WRC,https://worldcore.com/,,
Waves Communi...,WCT,https://wavesplatform.com/,https://github.com/wavesplatform/,
Dero,DERO,https://dero.io,https://github.com/deroproject/derosuite,
Payfair,PFR,https://payfair.io/,https://github.com/payfairio/,
B2BX,B2B,https://www.b2bx.pro/,,
MktCoin,MLM,http://mktcoin.org/,https://github.com/Mktcoin-official/Mktcoin,
Mintcoin,MINT,http://www.mintcoinofficial.com,https://github.com/MintcoinCommunity/,
APX,APX,,,
LIFE,LIFE,https://www.lifelabs.io/,,
Dotcoin,DOT,https://www.cryptopia.co.nz/,,
GoByte,GBX,https://gobyte.network/,https://github.com/gobytecoin/gobyte/,
IDEX Membership,IDXM,https://auroradao.com/tokensale/,,
Auctus,AUC,https://auctus.org/,https://github.com/AuctusProject,
CanYaCoin,CAN,https://canya.io/,https://github.com/CanYaCoinSale/,
Block Array,ARY,https://www.blockarray.com,https://github.com/blockarraygroup/,
Sequence,SEQ,https://duality.solutions,https://github.com/duality-solutions/,
Blue Protocol,BLUE,https://www.blueprotocol.com/,https://forkdelta.github.io/#!/trade/BLUE-ETH,https://www.blueprotocol.com/careers/
Circuits of V...,COVAL,http://cov.al/,https://github.com/DecentricCorp,
TransferCoin,TX,http://txproject.io/,https://github.com/transferdev/Transfercoin/,
Auroracoin,AUR,http://auroracoin.is/,https://github.com/aurarad/auroracoin,
LatiumX,LATX,https://latium.org/,https://github.com/Latium-org,
FundRequest,FND,https://fundrequest.io/,https://github.com/fundrequest,
FedoraCoin,TIPS,https://www.tipsco.in/,https://github.com/jojapoppa/fedoratipscoin/tree/2.5.1,
Travelflex,TRF,https://travelflex.org/,,
Opus,OPT,http://opus-foundation.org/,https://github.com/Opus-foundation/contracts,
BitDice,CSNO,https://www.bitdice.me/,,
Kore,KORE,http://kore.life/,https://github.com/Kore-Core/kore,
Pandacoin,PND,http://digitalpandacoin.org/,https://github.com/DigitalPandacoin/pandacoin,
JET8,J8T,https://jet8.io/,https://github.com/jet8,https://jet8.io//careers
Vice Industry...,VIT,https://vicetoken.com,https://github.com/ViceIndustryToken/,
Universal Cur...,UNIT,http://www.u-currency.com/,https://github.com/unitcurrency/unitcurrency/,
TrueFlip,TFL,https://trueflip.io/,https://github.com/TrueFlip,
Publica,PBL,https://publica.io/,https://github.com/PublicaIO/,
Atmos,ATMOS,https://novusphere.io/,https://github.com/asphyxiating/atmostemp/tree/master/atmos-master,
BioCoin,BIO,https://biocoin.bio/,https://github.com/Blackithart/biocoin,
REAL,REAL,https://www.real.markets/,https://forkdelta.github.io/#!/trade/REAL-ETH,
BitStation,BSTN,https://www.bitstation.co/en/,,
ArtByte,ABY,https://www.artbyte.me/,,
ClearPoll,POLL,http://polltokens.io/,,
Internet of P...,IOP,http://iop.global/,https://github.com/Internet-of-People,
GeoCoin,GEO,http://geocoin.cash/,,
Sumokoin,SUMO,https://www.sumokoin.org/,https://github.com/sumoprojects/sumokoin,
Monoeci,XMCC,http://www.monacocoin.net/,https://github.com/monacocoin-net/monacoCoin-Core,
CHIPS,CHIPS,,https://github.com/DeckerSU/chips3/,
Titanium BAR,TBAR,https://www.tbis.io/,,https://www.tbis.io//careers
AdHive,ADH,https://adhive.tv/,https://github.com/adhivetv,
CommerceBlock,CBT,https://www.commerceblock.com/,https://github.com/commerceblock,
Viuly,VIU,https://viuly.io/,https://github.com/viuly,
Breakout Stake,BRX,http://www.breakoutcoin.com/,https://github.com/BreakoutCoin/,
DAO.Casino,BET,https://dao.casino/,https://github.com/daocasino,
Bitcoin Plus,XBC,http://www.bitcoinplus.org,https://github.com/bitcoinplusorg/,
Colu Local Ne...,CLN,https://cln.network/,https://github.com/colucom/CLN-solidity,
Tokes,TKS,https://tokesplatform.org/,,
ATLANT,ATL,https://atlant.io/,https://github.com/AtlantPlatform,
EuropeCoin,ERC,https://www.europecoin.eu.org,https://github.com/LIMXTEC/Europecoin-V3,
HOQU,HQX,https://www.hoqu.io/,https://github.com/hoqu-io,
Aditus,ADI,https://www.aditus.net/,https://github.com/aditus/,
AMLT,AMLT,https://amlt.coinfirm.io/,https://github.com/TokenMarketNet/ico/tree/master/contracts,
Bitmark,BTM,http://bitmark.io/,https://github.com/project-bitmark/,
Dether,DTH,https://dether.io/,https://github.com/dethertech,
Astro,ASTRO,https://astronaut.capital/,,
Sether,SETH,https://www.sether.io/,https://github.com/mware-solutions,
Pesetacoin,PTC,http://pesetacoin.info/,https://github.com/FundacionPesetacoin/,
Open Trading ...,OTN,https://otn.org/,https://github.com/OpenTradingNetworkFoundation,
Spectre.ai Ut...,SXUT,http://www.spectre.ai/,https://github.com/spectre-ai/,
Qwark,QWARK,http://www.qwark.io/,,
Crave,CRAVE,https://crave.cc,https://github.com/Crave-Project/Crave-NG,
Haven Protocol,XHV,https://havenprotocol.com,https://github.com/havenprotocol/haven,
Nullex,NLX,http://nullex.io/,https://github.com/white92d15b7/GPU-Coin,
vTorrent,VTR,http://vtorrent.info/,https://github.com/vtorrent,
2GIVE,2GIVE,https://2give.info/,https://github.com/LittleDuke/2GiveCoin,
B3Coin,KB3,http://b3coin.io/,https://github.com/B3-Coin/B3-CoinV2,
ExclusiveCoin,EXCL,http://exclusivecoin.pw,https://github.com/exclfork/ExclusiveCoin,
FidentiaX,FDX,https://www.fidentiax.com/,,
Peculium,PCL,http://peculium.io,https://github.com/PeculiumPCL/Peculium,
Voise,VOISE,https://www.voise.com,,
Hackspace Cap...,HAC,https://hackspace.capital/,,
Cryptopay,CPAY,https://cryptopay.me/,,https://cryptopay.me//careers
Internxt,INXT,https://internxt.com/,https://github.com/internxt,
MaxCoin,MAX,https://www.maxcoinproject.org/,https://github.com/Max-Coin,
Monkey Project,MONK,http://monkey.community/,https://github.com/MONKEYPROJECT/Monkey,
ClearCoin,CLR,https://clearcoin.co/,https://github.com/clearcoin,
Karbo,KRB,http://karbowanec.com/,https://github.com/seredat/karbowanec,
Neutron,NTRN,http://www.neutroncoin.com/,https://github.com/neutroncoin/neutron,
BitcoinZ,BTCZ,https://btcz.rocks/en/,https://github.com/bitcoinz-pod/bitcoinz,
Memetic / Pep...,MEME,https://memetic.ai/,https://github.com/pepeteam/pepecoin,
Pure,PURE,https://purealt.org/,https://github.com/puredev321/pure,
NuBits,USNBT,https://www.nubits.com,https://bitbucket.org/JordanLeePeershares/nubit/overview,https://www.nubits.com/jobs
Photon,PHO,http://www.photoncc.com/,https://github.com/photonproject/photon,
Hade Platform,HADE,https://hadeplatform.com/,https://github.com/HadePlatform/HadePlatformToken,
Starta,STA,https://startaico.com/,,
MyWish,WISH,https://mywish.io/,https://github.com/mywishplatform,
DopeCoin,DOPE,http://www.dopecoin.com/,https://github.com/dopecoin-dev/DopeCoinGold,
BunnyCoin,BUN,http://bunnycoin.org/,,
Vezt,VZT,https://vezt.co/,https://github.com/Vezt/Vezt,
Education Eco...,LEDU,https://tokensale.liveedu.tv/,,
Gatcoin,GAT,https://www.gatcoin.io/,https://github.com/gatcoin,
Galactrum,ORE,https://galactrum.org/,https://github.com/galactrum/galactrum,
SpreadCoin,SPR,http://www.spreadcoin.info,https://github.com/spreadcoin/spreadcoin,
Iungo,ING,https://iungo.network/,https://github.com/iungonetwork,
HEROcoin,PLAY,https://www.herocoin.io/,https://github.com/byteheroes/herocoin,
BlueCoin,BLU,http://www.bluecoin.io/,https://github.com/bluecoiner/bluecoin-new,
HelloGold,HGT,https://www.hellogold.org/,https://github.com/myHelloGold/Foundation,
Goodomy,GOOD,http://goodomy.com/,,
Denarius,DNR,https://denarius.io/,https://github.com/carsenk/denarius,
BlockCAT,CAT,https://blockcat.io/,https://github.com/iondbproject/iondb,
Hush,HUSH,https://myhush.org/,https://github.com/MyHush,
VeriumReserve,VRM,http://www.vericoin.info/veriumlaunch.html,https://github.com/VeriumReserve,
Ixcoin,IXC,https://www.ixcoin.net/,https://github.com/ixcore/ixcoin,
Sharechain,SSS,http://www.sharechain.org/,,
Altcoin,ALT,http://altcoinmarketcap.com/,,
Zeitcoin,ZEIT,http://www.zeit-coin.net,https://github.com/zeitcoin/zeitcoin,
Terracoin,TRC,http://www.terracoin.info/,https://github.com/terracoin,
Tracto,TRCT,http://www.tracto.org/,https://github.com/tracto2/Tracto-ERC20,
Riecoin,RIC,http://riecoin.org/,https://github.com/riecoin/riecoin,
BuzzCoin,BUZZ,http://www.buzzcoin.info/,https://github.com/buzzcoin-project/BUZZ,
Sexcoin,SXC,http://www.sexcoin.info/,https://github.com/sexcoin-project/sexcoin,
Bitcloud,BTDX,https://bit-cloud.info/,https://github.com/LIMXTEC/Bitcloud/,
LOCIcoin,LOCI,https://locipro.com,https://github.com/Locipro/loci-coin-sale,
COPYTRACK,CPY,https://copytrack.io/,https://github.com/copytrackio/cpy-contracts,
eBoost,EBST,http://www.eboost.fun,https://github.com/eBoostCrypto/eBoost,
Breakout,BRK,http://www.breakoutcoin.com/,https://github.com/BreakoutCoin/,
Masari,MSR,https://getmasari.org/,https://github.com/masari-project/masari,
Starbase,STAR,https://starbase.co/,https://github.com/starbaseco,https://angel.co/starbaseco/jobs
Privatix,PRIX,https://privatix.io/,https://github.com/Privatix,
Parkgene,GENE,,https://github.com/parkgene,
BiblePay,BBP,https://biblepay.org/,https://github.com/biblepay/biblepay,
Autonio,NIO,https://auton.io/,,
Daneel,DAN,https://daneel.io/,https://github.com/project-daneel,
Upfiring,UFR,https://www.upfiring.com/,,
Anoncoin,ANC,https://anoncoin.net/,https://github.com/Anoncoin/anoncoin,
Lampix,PIX,https://www.lampix.co/,,https://www.lampix.co//blogs/jobs
ZrCoin,ZRC,https://zrcoin.io/,,
Maverick Chain,MVC,http://www.mvchain.net/,https://github.com/mvchain,
Sociall,SCL,https://sociall.io,,
RefToken,REF,https://reftoken.io/,https://github.com/alexanderanter,
EventChain,EVC,https://eventchain.io/,,
Experty,EXY,https://experty.io/en,https://github.com/Experty,
StarterCoin,STAC,http://www.coinstarter.com/,,
SyncFab,MFG,https://blockchain.syncfab.com/,https://github.com/syncfab,https://www.nasdaq.com/article/industrial-revolution-40-creating-jobs-with-decentralized-manufacturing-cm925129
CannabisCoin,CANN,http://cannabiscoin.net,https://github.com/cannabiscoindev/cannabiscoin420,
Blockpool,BPL,https://www.blockpool.io/,https://github.com/blockpool-io,
Creditbit,CRB,https://www.creditbit.org/,https://github.com/ethereum/mist/releases/latest,
Chainium,CHX,https://chainium.io/,https://github.com/chainium,
FORCE,FOR,https://www.forcenetwork.io/,https://github.com/forceunited/,
Transcodium,TNS,https://transcodium.com/,https://github.com/transcodium,
1World,1WO,https://ico.1worldonline.com,https://github.com/1World-Online,
Commodity Ad ...,CDX,https://commodityadnetwork.com/,,
Zephyr,ZEPH,https://zephyr.bitspark.io/,,
Aigang,AIX,https://aigang.network/,https://github.com/AigangNetwork,
RussiaCoin,RC,http://www.russiacoin.info/,https://github.com/RussiaCoinDotInfo/RussiaCoin/,
CryptoPing,PING,https://cryptoping.tech/,,
Bonpay,BON,https://bonpay.com/,https://github.com/bonpay,
Ignition,IC,https://www.ignitioncoin.org/,https://github.com/ignitioncoin/,
Stellite,XTL,https://stellite.cash,https://github.com/stellitecoin,
Jiyo,JIYO,https://www.jiyo.io/,https://github.com/jiyocoin/jiyo-core,
Verify,CRED,https://verify.as/,https://github.com/verifyas,
Elite,1337,https://www.elitecurrency.net/,https://github.com/xenonflux/1337,
EncryptoTel [...,ETT,https://encryptotel.com/,,
EverGreenCoin,EGC,http://evergreencoin.org/,https://github.com/EverGreenCoinDev/EverGreenCoin/,
GCN Coin,GCN,https://gcn.zone,,
Interstellar ...,HOLD,https://www.interstellarcoin.com/,https://github.com/InterstellarHoldings/InterstellarHoldings/,
Social Send,SEND,http://socialsend.io/,https://github.com/SocialSend/,
CampusCoin,CMPCO,https://www.campuscoinproject.org/,https://github.com/campuscoindev/CampusCoin-Source,
Uniform Fisca...,UFO,https://ufocoin.net/,https://github.com/UFOCoins/ufo,
Fabric Token,FT,https://fabrictoken.io,,
MicroMoney,AMM,https://www.micromoney.io/,https://github.com/micro-money/prime,
STRAKS,STAK,https://straks.tech/,https://github.com/straks/straks,
