circulating_supply,ID,last_updated,max_supply,name,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,price,volume_24h,rank,symbol,total_supply,website_slug,website,github
,3182,1534526947,,HitChain,,-2.43,44.57,,0.0006505269,5025019.47384891,1455,HIT,102400000000.0,hitchain,http://hitchain.org/index.html,
,3012,1534527008,,VeThor Token,,-0.82,42.48,-56.59,0.0029676369,385607.072409081,1504,VTHO,,vethor-token,https://www.vechain.org/,https://github.com/vechain/thor
,3181,1534527008,,ShowHand,,27.27,52.5,,1.86528e-05,305180.634798885,1512,HAND,403000000000.0,showhand,https://www.showhand.io,
,3106,1534527008,,PKG Token,,-4.4,81.94,143.5,6.51945e-05,251746.685555856,1521,PKG,10000000000.0,pkg-token,http://pkgtoken.io/,
,3184,1534527008,,Gold Poker,,0.37,5.78,,2.9948710576,250066.188998954,1522,GPKR,1485420.0,gold-poker,https://gold-poker.com/,https://github.com/GoldPoker/GoldPoker-coin
,3021,1534527008,,InternationalCryptoX,,1.42,6.09,-12.87,0.0066270805,244356.029095398,1524,INCX,599999990.0,internationalcryptox,https://internationalcryptox.io/,
,3109,1534527007,,Ordocoin,,-15.02,,,7.18312e-05,200930.586645003,1537,RDC,51000000000000.0,ordocoin,https://ordocoin.org,https://github.com/ordocoin
,3179,1534527008,,Arbidex,,1.29,-21.86,,0.0501220329,195861.4034286,1538,ABX,25000000.0,arbidex,https://www.arbidex.uk.com,
,3127,1534527006,,Themis,,2.18,6.96,-39.3,0.0054279819,163345.668259727,1549,GET,1000000000.0,themis,https://themis.network/,https://github.com/themis-network/go-themis
,3083,1534527006,,Lina,,1.22,5.34,-18.37,0.0245820332,105458.525492768,1562,LINA,900000000.0,lina,https://lina.review,
,2746,1534527006,,DasCoin,,2.1,-8.25,-15.79,0.0537264504,102532.737578264,1564,DASC,889868500.0,dascoin,https://dascoin.com/,https://github.com/techsolutions-ltd/dascoin-blockchain
