circulating_supply,ID,last_updated,max_supply,name,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,price,volume_24h,rank,symbol,total_supply,website_slug,website,github
,2618,1532751298,,StockChain,,-0.4,2.52,11.05,0.00467338,254084.0,1476,SCC,10000000000.0,stockchain,http://stockchain.co/,https://github.com/StockChainScc
,2959,1532751302,,WeToken,,20.12,55.33,,0.0122048,240085.0,1478,WT,600000000.0,wetoken,https://en.worldwifi.io/,https://github.com/World-WiFi/deal-referral-contract
,2713,1532751299,,KEY,,-0.91,-1.68,-10.76,0.00408757,182034.0,1483,KEY,100000000000.0,key,https://www.bihu.com/,https://github.com/bihu-id/
,2970,1532751302,,LocalCoinSwap,,-0.95,8.56,,0.181706,160789.0,1487,LCS,72732420.0,local-coin-swap,https://www.localcoinswap.com,https://github.com/LocalCoinSwap/cryptoshares
,2894,1532751301,,OTCBTC Token,,-1.05,-7.07,-17.25,0.155335,151654.0,1488,OTB,199470888.0,otcbtc-token,https://otcbtc.com/,
,2857,1532751301,,SalPay,,-0.12,3.36,-11.48,0.0392225,143420.0,1489,SAL,100000000.0,salpay,https://www.salpay.com,
,2977,1532751302,,BitRewards,,-0.07,-15.25,,0.00422475,139624.0,1491,BIT,511991510.0,bitrewards,https://bitrewards.network/,https://github.com/BitRewards
,2975,1532751302,,FundToken,,-0.22,14.38,,0.0219261,137666.0,1492,FUNDZ,79796588.0,fundtoken,https://fundfantasy.com/,https://github.com/FundFantasy/TokenSale
,2940,1532751302,,Sp8de,,-0.07,26.82,-0.33,0.000347368,128277.0,1495,SPX,8888888888.0,sp8de,https://sp8de.com/,
,2532,1532751296,,Etherecash,,6.67,-0.99,-9.22,0.0104586,121646.0,1496,ECH,,etherecash,http://etherecash.io/,
,2966,1532751302,,Fox Trading,,-1.48,-6.78,,0.0541569,118045.0,1499,FOXT,9250000.0,fox-trading,https://foxtrading.io/,https://github.com/foxtrading
,2932,1532751302,,No BS Crypto,,1.08,-6.13,31.41,0.00119491,113396.0,1500,NOBS,10000000000.0,no-bs-crypto,https://nobscrypto.com/,
,2925,1532751302,,RECORD,,0.01,11.99,-16.64,0.0415866,108428.0,1501,RCD,,record,https://recordfoundation.org/,https://github.com/recordfoundation/record-token-contract
,2828,1532751300,,SPINDLE,,-0.01,6.08,-17.39,0.00588233,107957.0,1502,SPD,10000000000.0,spindle,https://spindle.zone,
,2973,1532751302,,empowr coin,,-0.07,-0.86,,2.24287,107116.0,1503,EMPR,751122980.0,empowr-coin,http://www.empowr.com,
,2982,1532751302,,Mass Vehicle Ledger,,-0.07,27.82,,0.00572722,96967.3,1504,MVL,30000000000.0,mass-vehicle-ledger,http://mvlchain.io,https://github.com/mvlchain/mvltoken
