circulating_supply,ID,last_updated,max_supply,name,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,price,volume_24h,rank,symbol,total_supply,website_slug,website,github
,3147,1534341124,,HYCON,,0.65,3.53,,0.0344621892,4637043.34538188,1448,HYC,2925955449.0,hycon,https://hycon.io/,https://github.com/Team-Hycon/hycon-core
,3096,1534341124,,Pundi X NEM,,1.52,6.96,34.35,0.0034715626,2936778.13279043,1450,NPXSXEM,9000000000.0,pundi-x-nem,https://pundix.com/,
,3126,1534341124,,ProximaX,,0.38,4.97,,0.0039335867,2691754.05030539,1453,XPX,9000000000.0,proximax,https://proximax.io/,https://github.com/proximax-storage-foundry
,3123,1534341124,,GSENetwork,,0.59,4.06,-13.53,0.007432135,2478816.60770385,1454,GSE,100000000000.0,gsenetwork,https://gse.network/,
,3157,1534341184,,Smart Application Chain,,0.45,,,4.4395477129,1575093.99274672,1459,SAC,200000000.0,smart-application-chain,https://www.sachain.net,https://github.com/SACChain/SAC
,3116,1534341184,,Insight Chain,,-0.7,-9.01,-22.1,0.425489577,1252890.70937451,1464,INB,10000000000.0,insight-chain,http://www.insightchain.io,
,3175,1534341184,,TTC Protocol,,-0.39,,,0.0530436418,834206.307645599,1470,TTC,1000000000.0,ttc-protocol,http://www.ttc.eco,https://github.com/TTCECO/ico_smart_contract
,3100,1534341184,,Ultra Salescloud,,0.73,11.75,-16.99,0.068169284,713058.059045918,1472,UST,1000000000.0,ultra-salescoud,http://www.ust.top/,https://github.com/ultraSalescloud/
,3121,1534341183,,IGToken,,0.17,35.28,,0.0001461647,670791.616020241,1473,IG,10000000000.0,igtoken,http://igtoken.net/,https://github.com/IgniteIGT/token-profile
,3086,1534341183,,Kora Network Token,,6.77,18.47,-22.59,0.0119664408,667342.125703287,1474,KNT,712500000.0,kora-network-token,https://kora.network/,https://github.com/koranetwork
