name,symbol,website,github,careers,circulating_supply,ID,last_updated,max_supply,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,price,volume_24h,rank,total_supply,website_slug
Iconic,ICON,http://iconicproject.com/,https://github.com/iconictoken/iconic,,592894,1528,1527573555,,27055,-0.55,-9.65,-44.96,0.0456321,44.57,1298,592894,iconic
FedoraCoin,TIPS,https://www.tipsco.in/,https://github.com/jojapoppa/fedoratipscoin/tree/2.5.1,,2.1227E+11,87,1527573542,,4922453,-3.64,-11.62,-45.98,2.32E-05,91725.2,629,4.8276E+11,fedoracoin
Rupaya,RUPX,http://www.rupayacoin.org/,https://github.com/rupaya-project/rupaya,,23620214,1877,1527573561,,1343759,-0.3,-27.54,-46.44,0.0568902,14160.7,815,23620214,rupaya
VapersCoin,VPRC,http://www.vaperscoin.org/,https://github.com/vaperscoin/vaperscoin,,780124964,1341,1527573552,,85069,0.43,-23.76,-46.48,0.000109045,753.957,993,1635124964,vaperscoin
NamoCoin,NAMO,https://namocoin.name,https://github.com/namocoin/NamoCoin,,,1920,1527573563,1200000000,,-0.16,-2.13,-46.72,0.000142378,389.627,1524,560211620,namocoin
Plancoin,PLAN,https://plancoin.co,https://github.com/plancoin/,,,2706,1527573580,,,-13.74,-36.12,-46.89,0.163014,1054120,1381,4613106,plancoin
Dero,DERO,https://dero.io,https://github.com/deroproject/derosuite,,2379837,2665,1527573579,,5488475,-1.45,-6.96,-46.91,2.30624,32505.8,597,18400000,dero
U.CASH,UCASH,https://u.cash,https://github.com/udotcash,,1844678441,2512,1527573575,21000000000,7661079,-1.03,-26.6,-47.1,0.00415307,9943.83,523,21000000000,ucash
Influence Chain,INC,http://www.influencechain.org/,https://github.com/InfluenceChain,,,2740,1527573581,,,-4.64,-11.67,-47.13,0.281378,737521,1392,1000000000,influence-chain
Cannation,CNNC,http://www.cannationcoin.com/,https://github.com/cannationproject/cannation,,2476893,1674,1527573557,,25388,-9.2,-5.87,-47.41,0.0102501,133.348,1302,2476893,cannation
STRAKS,STAK,https://straks.tech/,https://github.com/straks/straks,,4475858,2332,1527573571,150000000,2026825,-0.32,-4.3,-47.45,0.452835,18652.3,771,43684590,straks
CoinPoker,CHP,https://coinpoker.com/,https://github.com/CoinPokerOfficial/ico-smartcontracts,,278116723,2569,1527573576,,13832330,0.19,-5.65,-47.53,0.0497357,167227,403,354786435,coinpoker
EA Coin,EAG,https://www.eacoin.io/,https://github.com/eacoin-project/,,,2183,1527573568,100000000,,-0.16,-3.59,-47.98,0.0121021,350.293,1529,75206327,ea-coin
Credence Coin,CRDNC,http://credence-coin.com/,https://github.com/XYZ1345,,3427006,2150,1527573567,25000000,23295,-0.16,-53.49,-48.22,0.00679737,37.7073,1308,9227006,credence-coin
GeyserCoin,GSR,http://geysercoin.com/,https://github.com/geysercoin/geysercoin,,46864,1846,1527573562,4500000,13737,-0.16,-37.38,-48.39,0.293118,774.925,1011,599334,geysercoin
InPay,INPAY,https://inpay.tech/,http://github.com/InPayTech,,10000000,1626,1527573556,,901808,-0.18,-21.1,-48.43,0.0901808,263.076,1055,10000000,inpay
ShipChain,SHIP,https://www.shipchain.io/,https://github.com/shipchain,,170657181,2579,1527573577,,9412887,-0.65,-14.96,-48.66,0.0551567,13174.7,492,500000000,shipchain
Zippie,ZIPT,https://zippie.org/,https://github.com/zippiehq,,144705040,2724,1527573579,1000000000,5457608,-1.82,-2.86,-48.94,0.0377154,12613.7,601,1000000000,zippie
Bitsum,BSM,https://bitsum.money,https://github.com/BitsumFoundation/,,813185961,2648,1527573579,,463118,-3.22,-18.14,-49.12,0.000569511,5310.96,918,1844674407,bitsum
BitSerial,BTE,https://bitserial.io/,https://github.com/bitserialio,,,2194,1527573568,,,-0.16,-24.6,-49.48,0.00263399,111.012,1547,28000000,bitserial
Masternodecoin,MTNC,http://www.masternodecoin.org/,https://github.com/masternodecoin/masternodecoin,,51893478,1946,1527573562,,757318,0.47,-13.77,-49.52,0.0145937,3524.73,878,75824535,masternodecoin
Magnetcoin,MAGN,https://magnetcoin.net/,https://github.com/magnetcoindev/MagnetCoin,,,1952,1527573562,,,-0.16,-1.64,-51.03,0.0716161,71.6526,1554,6236171,magnetcoin
Jiyo,JIYO,https://www.jiyo.io/,https://github.com/jiyocoin/jiyo-core,,33221908,2253,1527573570,70560000,2153650,0.71,-16.16,-51.42,0.0648262,25953.8,757,33798074,jiyo
StarCash Network,STARS,http://starcash.co/,https://github.com/cybernetik7/StarCash-Network-2.0,,959914,2157,1527573568,,26651,-0.16,-13.25,-51.43,0.0277637,117.758,1300,1033142,starcash-network
Aditus,ADI,https://www.aditus.net/,https://github.com/aditus/,,234110888,2660,1527573579,,4031249,-0.69,-9.49,-51.44,0.0172194,4076.1,661,750000000,aditus
Cropcoin,CROP,http://www.cropcoin.net/,https://github.com/Cropdev/CropDev,,,2671,1527573580,100000000,,0.5,-14.34,-51.69,0.0246758,9291.3,1479,18131530,cropcoin
Bitradio,BRO,http://www.bitrad.io/,https://github.com/thebitradio/Bitradio,,6431537,1754,1527573560,,426997,30.94,-34.06,-52.07,0.0663912,677.536,927,11431541,bitradio
Soma,SCT,https://soma.co/,https://github.com/soma-mvp,,5311565,2272,1527573570,,1089375,-0.28,-18.09,-52.15,0.205095,17335.9,845,14418075,soma
GuccioneCoin,GCC,https://guccionecoin.wordpress.com/,https://github.com/guccionecoin/GCC,,20285537,1033,1527573548,,73649,27.29,-12.43,-52.82,0.00363063,398.883,1241,23775537,guccionecoin
DAO.Casino,BET,https://dao.casino/,https://github.com/daocasino,,167270821,1771,1527573559,,4289844,-2.52,-11.04,-53.21,0.0256461,3096.88,653,167270821,dao-casino
PureVidz,VIDZ,http://purevidz.net/,https://github.com/purevidz/vidzcoin,,125279775,1511,1527573554,,124859,-0.18,-32.82,-53.3,0.000996645,75.3498,1204,125279775,purevidz
Grimcoin,GRIM,http://reaper.rocks/,https://github.com/GrimReaperCoins/GRIM,,144247350,2168,1527573568,,283411,-4.99,4.11,-53.88,0.00196476,1366.71,948,158414088,grimcoin
High Gain,HIGH,http://www.highgain.ltd/,https://github.com/highgainqubit/highgain,,,2138,1527573567,,,-0.18,-2.13,-54.63,0.000142378,1.11653,1600,,high-gain
EBCH,EBCH,https://CoinPulse.io,https://github.com/CoinPulse/CoinPulse-Official-API-Docs,,9285500,2187,1527573568,21000000,267296,-0.82,-23.51,-54.79,0.0287864,259.078,1131,21000000,ebitcoin-cash
Carboncoin,CARBON,http://carboncoin.cc,https://github.com/carboncointrust/CarboncoinCore,,15392020595,502,1527573545,,1124170,0.22,-47.58,-54.85,7.30E-05,18.4704,1049,15392020595,carboncoin
Ammo Reloaded,AMMO,http://ammoreloaded.io/,https://github.com/AmmoCore/AmmoReloaded,,77777777,1716,1527573558,,155034,-0.18,-8.66,-55.6,0.00199329,41.6417,1187,77777777,ammo-reloaded
Jesus Coin,JC,https://jesuscoin.network/,https://github.com/jesusico/jesuscoin,,17967557939,2520,1527573576,,978463,-0.27,4.52,-55.81,5.45E-05,736.061,858,20325184344,jesus-coin
PokeCoin,POKE,,https://github.com/PokeCoinDev/pokecoin,,,1330,1527437048,,,,,-55.85,7.34E-05,,1614,,pokecoin
Desire,DSR,http://www.desire-crypto.com/,https://github.com/lazyboozer/Desire_files/blob/master/Desire%20WhitePaper.pdf,,2996172,2148,1527573567,,116843,-9.74,-26.14,-56.03,0.0389973,16648.2,987,3596172,desire
Vsync,VSX,https://vsync.pw/,https://github.com/VsyncCrypto/VSX,,160559294,1951,1527573562,,1805939,-0.18,-14.15,-58.23,0.0112478,94.1852,1043,168332594,vsync-vsx
Anoncoin,ANC,https://anoncoin.net/,https://github.com/Anoncoin/anoncoin,,2110317,43,1527573541,,2553927,-5.72,-20.81,-59.44,1.21021,1382.18,733,2110317,anoncoin
Grid+,GRID,http://gridplus.io/,https://github.com/gridplus,,39236491,2134,1527573567,,13553736,-0.82,-2.8,-59.47,0.345437,5904.36,411,300000000,grid
OP Coin,OPC,http://opcoin.info/,https://github.com/rfo92/OPCoin,,142772093,2355,1527573572,2000000000,243795,-0.16,-12.03,-59.6,0.00170758,104594,957,751788879,op-coin
HomeBlockCoin,HBC,https://www.homeblockcoin.com/,https://github.com/HomeBlockCoin/HBC,,5000000,2317,1527573572,28000000,77151,2.67,-33.97,-59.88,0.0154301,4756.49,995,9529146,homeblockcoin
RabbitCoin,RBBT,http://rabbitcoin.co/,https://bitbucket.org/rabbitcoin/rabbitcoin,,,572,1527573545,,,-66.1,-87.18,-60.41,6.99E-06,329.202,1530,1.30616E+11,rabbitcoin
Chronos,CRX,http://chronos-coin.com/,https://github.com/chronoscoin/Chronoscoin,,73729962,1315,1527573552,,52488,-0.16,-79.06,-61,0.000711889,208.925,1262,73729962,chronos
