name,symbol,website,github,careers
EDUCare,EKT,http://ekt8.io/,https://github.com/EducationEKT/EKT/blob/master/docs/whitepaper.md,
Docademic,MTC,https://mtc.docademic.com/,https://github.com/Docademic/,ERR
Distributed C...,DCC,http://dcc.finance/,https://github.com/DistributedBanking/DCC,
GameCredits,GAME,http://gamecredits.com,https://github.com/gamecredits-project,
CasinoCoin,CSC,http://casinocoin.org/,https://github.com/casinocoin/casinocoin,
AdEx,ADX,https://www.adex.network/,https://github.com/adexnetwork,
Stakenet,XSN,https://stakenet.io/,https://github.com/X9Developers/XSN,
Republic Prot...,REN,https://republicprotocol.com/,https://github.com/republicprotocol,
Content Neutr...,CNN,https://cnntoken.io/,https://github.com/cnntoken/,
SpankChain,SPANK,https://spankchain.com/,https://github.com/spankchain,https://spankchain.com/jobs/
Seele,SEELE,http://seele.pro/,https://github.com/seeleteam,
Covesting,COV,https://covesting.io/,https://github.com/covesting,
Mainframe,MFT,https://mainframe.com/,https://github.com/MainframeHQ,https://mainframe.com/jobs/
InflationCoin,IFLT,http://inflationcoin.org/,https://github.com/inflationcoin/inflationcoin,
SingularDTV,SNGLS,https://singulardtv.com/,,
XTRABYTES,XBY,https://www.xtrabytes.global/,https://github.com/XTRABYTES,https://www.xtrabytes.global/careers
SPINDLE,SPD,https://spindle.zone,,
GoChain,GO,https://gochain.io/,https://github.com/gochain-io/docs,
Libra Credit,LBA,https://www.libracredit.io/,https://github.com/libracredit,
Mothership,MSP,https://mothership.cx/,,https://mothership.cx/careers
ContentBox,BOX,https://contentbox.one/,https://github.com/BOXFoundation,ERR
district0x,DNT,https://district0x.io/,https://github.com/district0x,
TokenCard,TKN,http://tokencard.io/,,
Aeon,AEON,http://www.aeon.cash/,https://github.com/aeonix/aeon,
Red Pulse,RPX,https://www.redpulse.com/landing,,
PCHAIN,PAI,https://pchain.org/,https://github.com/pchain-org,
LGO Exchange,LGO,https://lgo.exchange/,https://github.com/LegolasExchange/LegolasToken,
Cryptaur,CPT,https://cryptaur.com/,https://github.com/Cryptaur,
BitRent,RNTB,https://bitrent.io,https://github.com/bitrent,
Mobius,MOBI,https://mobius.network/,https://github.com/mobius-network,
BABB,BAX,https://getbabb.com/,,
Cobinhood,COB,https://www.cobinhood.com/,https://github.com/cobinhood/cobinhood-api-public,
MediBloc [QRC20],MED,https://medibloc.org/en/,https://github.com/Medibloc,
Wings,WINGS,https://wings.ai/,,
Neumark,NEU,http://neufund.org/,https://github.com/Neufund/,http://neufund.org/careers
PayPie,PPP,https://www.paypie.com/,,
bitUSD,BITUSD,http://bit.ly/BitShares_USD,,
CPChain,CPC,http://www.cpchain.io/,https://github.com/cpchain,
OriginTrail,TRAC,https://origintrail.io/,https://github.com/origintrail,
Internet Node...,INT,https://intchain.io/,https://github.com/intfoundation,
Metronome,MET,https://www.metronome.io/,https://github.com/autonomoussoftware,
Hive Project,HVN,https://www.hive-project.net/,,
AirSwap,AST,https://www.airswap.io/,,
Electra,ECA,https://electraproject.org/,https://github.com/Electra-project,
DecentBet,DBET,https://www.decent.bet/,,
LBRY Credits,LBC,https://lbry.io/,https://github.com/lbryio,
ATN,ATN,https://atn.io/,https://github.com/atnio,
Lympo,LYM,https://lympo.io/,,
VITE,VITE,https://www.vite.org/,https://github.com/vitelabs,
TomoChain,TOMO,https://tomochain.com/,https://github.com/tomochain/,https://tomochain.com/careers
GINcoin,GIN,https://gincoin.io,https://github.com/gincoin-dev/gincoin-core,
Spectre.ai Di...,SXDT,http://www.spectre.ai/,https://github.com/spectre-ai/,
IoTeX,IOTX,https://iotex.io/,https://github.com/iotexproject,https://iotex.io/careers
Counterparty,XCP,http://counterparty.io/,https://github.com/CounterpartyXCP,
FNKOS,FNKOS,https://www.foglink.io/,https://github.com/foglink/contracts/,
Cosmo Coin,COSM,https://cosmochain.io/,https://github.com/cosmochain/CosmoCoin,https://cosmochain.io//html/careers_EN_renewal.html
Feathercoin,FTC,http://feathercoin.com,https://github.com/FeatherCoin/Feathercoin,
Linda,LINDA,http://lindacoin.com/,https://github.com/Lindacoin/Linda/,
UTRUST,UTK,https://utrust.com/,ERR,ERR
WABnetwork,WAB,https://wab.network/,https://github.com/WABnetwork/Token,
TraDove B2BCoin,BBC,http://bbcoin.tradove.com,,
MobileGo,MGO,https://mobilego.io/,,
SureRemit,RMT,https://sureremit.co/,,
Endor Protocol,EDR,https://www.endor.com/,https://github.com/EndorCoin,
Envion,EVN,https://www.envion.org,ERR,ERR
QLC Chain,QLC,https://qlcchain.org/,https://github.com/qlcchain/,https://qlcchain.org/en/community/jobs/
AppCoins,APPC,https://appcoins.io/,https://github.com/Aptoide/AppCoins-ethereumj,
OneRoot Network,RNT,https://www.oneroot.io/en,,
DECENT,DCT,https://decent.ch/,https://github.com/DECENTfoundation,https://decent.ch/careers/
ECC,ECC,https://ecc.network/,https://github.com/project-ecc/,
Novacoin,NVC,http://novacoin.org,https://github.com/novacoin-project/novacoin,
Cashaa,CAS,https://www.cashaa.com/,,
SRCOIN,SRCOIN,https://www.srcoin.info/,,
Refereum,RFR,https://refereum.com/,,
Sakura Bloom,SKB,https://www.skb-coin.jp/en/,ERR,ERR
XYO Network,XYO,https://xyo.network/,https://github.com/XYOracleNetwork,https://xyo.network/careers/
Numeraire,NMR,https://numer.ai/,https://github.com/numerai,
Ternio,TERN,https://www.ternio.io,,
Bitcoin Green,BITG,https://www.savebitcoin.io/,https://github.com/bitcoingreen/bitcoingreen,
IoT Chain,ITC,https://iotchain.io/,https://github.com/IoTChainCode,
OST,OST,https://ost.com,https://github.com/OpenSTFoundation,https://ost.com/careers
Crowd Machine,CMCT,https://crowdmachine.com,,https://www.crowdmachine.com/careers/
WePower,WPR,https://wepower.network/,https://github.com/WePowerNetwork/wepower-contracts,
Aurora DAO,AURA,https://auroradao.com,,
Bulwark,BWK,https://bulwarkcrypto.com/,https://github.com/bulwark-crypto,
Hydro Protocol,HOT,https://thehydrofoundation.com/,https://github.com/HydroProtocol,
Ink,INK,https://ink.one/,https://github.com/inklabsfoundation,
Ripio Credit ...,RCN,https://ripiocredit.network/,https://github.com/ripio/rcn-network,
NIX,NIX,https://nixplatform.io/,https://github.com/NixPlatform/NixCore,
YEE,YEE,http://www.yeefoundation.com/,,
GridCoin,GRC,http://www.gridcoin.us/,https://github.com/gridcoin/Gridcoin-Research,
Apex,CPX,https://apex.chinapex.com/,https://github.com/APEX-Network,ERR
Shift,SHIFT,http://www.shiftnrg.org,https://github.com/ShiftNrg,
INS Ecosystem,INS,https://ins.world/,https://github.com/ins-ecosystem,https://angel.co/ins-ecosystem/jobs
Humaniq,HMQ,https://humaniq.com/,https://github.com/humaniq,https://humaniq.com/careers
adToken,ADT,https://adtoken.com/,,
DMarket,DMT,https://dmarket.com/,https://github.com/suntechsoft/dmarket-smartcontract,
CloakCoin,CLOAK,https://www.cloakcoin.com/,https://github.com/CloakProject/Cloak2Public,
DATA,DTA,http://data.eco/,https://github.com/Blockchain-DATA,
E-Dinar Coin,EDR,https://edinarcoin.com/,,
Restart Energ...,MWAT,https://restartenergy.io,https://github.com/TransylvaniaHighTech/RestartEnergyICO,
Primas,PST,https://primas.io/,,
Bankex,BKX,https://bankex.com/en/,https://github.com/BankEx,
Fortuna,FOTA,https://www.fota.io/,,
Pepe Cash,PEPECASH,http://rarepepedirectory.com/,,
Phore,PHR,https://phore.io/,https://github.com/phoreproject/Phore,
